scenario_label,representative_path_zscore,step_index,time_years,price_per_share_usd,titan_stake_pct,call_live,put_live,call_strike_pv_per_share_usd,put_strike_pv_per_share_usd,call_intrinsic_per_share_usd,put_intrinsic_per_share_usd,wait_value_usd_m,best_call_target_pct,best_call_value_usd_m,put_value_usd_m,optimal_action,optimal_target_pct,state_value_usd_m
low,-1.0,0,0.0,577.192248,25.0,0,0,577.192248,577.192248,0.0,0.0,144.076408,,,,wait,25.0,144.076408
low,-1.0,0,0.0,577.192248,20.0,0,0,577.192248,577.192248,0.0,0.0,115.261126,,,,wait,20.0,115.261126
low,-1.0,0,0.0,577.192248,15.0,0,0,577.192248,577.192248,0.0,0.0,86.445845,,,,wait,15.0,86.445845
low,-1.0,0,0.0,577.192248,10.0,0,0,577.192248,577.192248,0.0,0.0,57.630563,,,,wait,10.0,57.630563
low,-1.0,0,0.0,577.192248,7.0,0,0,577.192248,577.192248,0.0,0.0,40.341394,,,,wait,7.0,40.341394
low,-1.0,252,1.0,486.611176,25.0,0,0,593.065035,593.065035,0.0,0.0,47.234162,,,,wait,25.0,47.234162
low,-1.0,252,1.0,486.611176,20.0,0,0,593.065035,593.065035,0.0,0.0,37.787329,,,,wait,20.0,37.787329
low,-1.0,252,1.0,486.611176,15.0,0,0,593.065035,593.065035,0.0,0.0,28.340497,,,,wait,15.0,28.340497
low,-1.0,252,1.0,486.611176,10.0,0,0,593.065035,593.065035,0.0,0.0,18.893665,,,,wait,10.0,18.893665
low,-1.0,252,1.0,486.611176,7.0,0,0,593.065035,593.065035,0.0,0.0,13.225565,,,,wait,7.0,13.225565
low,-1.0,504,2.0,461.237311,25.0,0,0,610.856986,610.856986,0.0,0.0,13.886011,,,,wait,25.0,13.886011
low,-1.0,504,2.0,461.237311,20.0,0,0,610.856986,610.856986,0.0,0.0,11.108808,,,,wait,20.0,11.108808
low,-1.0,504,2.0,461.237311,15.0,0,0,610.856986,610.856986,0.0,0.0,8.331606,,,,wait,15.0,8.331606
low,-1.0,504,2.0,461.237311,10.0,0,0,610.856986,610.856986,0.0,0.0,5.554404,,,,wait,10.0,5.554404
low,-1.0,504,2.0,461.237311,7.0,0,0,610.856986,610.856986,0.0,0.0,3.888083,,,,wait,7.0,3.888083
low,-1.0,756,3.0,445.695167,25.0,1,0,629.182696,629.182696,0.0,0.0,0.291317,20.0,0.233053,,wait,25.0,0.291317
low,-1.0,756,3.0,445.695167,20.0,1,0,629.182696,629.182696,0.0,0.0,0.233053,15.0,0.17479,,wait,20.0,0.233053
low,-1.0,756,3.0,445.695167,15.0,1,0,629.182696,629.182696,0.0,0.0,0.17479,10.0,0.116527,,wait,15.0,0.17479
low,-1.0,756,3.0,445.695167,10.0,1,0,629.182696,629.182696,0.0,0.0,0.116527,0.0,0.0,,wait,10.0,0.116527
low,-1.0,756,3.0,445.695167,7.0,1,0,629.182696,629.182696,0.0,0.0,0.081569,0.0,0.0,,wait,7.0,0.081569
low,-1.0,882,3.5,439.889984,25.0,1,1,642.259637,641.951377,0.0,202.061393,-140.013952,0.0,-140.030566,-280.061132,call,0.0,-140.030566
low,-1.0,882,3.5,439.889984,20.0,1,1,642.259637,641.951377,0.0,202.061393,-112.011162,0.0,-112.024453,-224.048906,call,0.0,-112.024453
low,-1.0,882,3.5,439.889984,15.0,1,1,642.259637,641.951377,0.0,202.061393,-84.008371,0.0,-84.01834,-168.036679,call,0.0,-84.01834
low,-1.0,882,3.5,439.889984,10.0,1,1,642.259637,641.951377,0.0,202.061393,-56.005581,0.0,-56.012226,-112.024453,call,0.0,-56.012226
low,-1.0,882,3.5,439.889984,7.0,1,1,642.259637,641.951377,0.0,202.061393,-39.203907,0.0,-39.208559,-78.417117,call,0.0,-39.208559
low,-1.0,1008,4.0,434.995374,25.0,1,1,655.608369,654.979186,0.0,219.983812,-152.434047,0.0,-152.450982,-304.901963,call,0.0,-152.450982
low,-1.0,1008,4.0,434.995374,20.0,1,1,655.608369,654.979186,0.0,219.983812,-121.947238,0.0,-121.960785,-243.921571,call,0.0,-121.960785
