step_index,time_years,steps_per_year_model,call_live,put_live,call_coupon_rate_pct,put_coupon_rate_pct,call_model_daily_roll_pct,put_model_daily_roll_pct,call_completion_time_years,put_completion_time_years,call_strike_completion_per_share_usd,call_strike_pv_per_share_usd,put_strike_completion_per_share_usd,put_strike_pv_per_share_usd
0,0.0,252,0,0,2.75,2.75,0.01076592,0.01076592,0.0,0.0,577.192248,577.192248,577.192248,577.192248
1,0.003968,252,0,0,2.75,2.75,0.01076592,0.01076592,0.003968,0.003968,577.254388,577.254388,577.254388,577.254388
2,0.007937,252,0,0,2.75,2.75,0.01076592,0.01076592,0.007937,0.007937,577.316535,577.316535,577.316535,577.316535
3,0.011905,252,0,0,2.75,2.75,0.01076592,0.01076592,0.011905,0.011905,577.378689,577.378689,577.378689,577.378689
4,0.015873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.015873,0.015873,577.440849,577.440849,577.440849,577.440849
5,0.019841,252,0,0,2.75,2.75,0.01076592,0.01076592,0.019841,0.019841,577.503016,577.503016,577.503016,577.503016
6,0.02381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.02381,0.02381,577.565189,577.565189,577.565189,577.565189
7,0.027778,252,0,0,2.75,2.75,0.01076592,0.01076592,0.027778,0.027778,577.627369,577.627369,577.627369,577.627369
8,0.031746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.031746,0.031746,577.689556,577.689556,577.689556,577.689556
9,0.035714,252,0,0,2.75,2.75,0.01076592,0.01076592,0.035714,0.035714,577.75175,577.75175,577.75175,577.75175
10,0.039683,252,0,0,2.75,2.75,0.01076592,0.01076592,0.039683,0.039683,577.81395,577.81395,577.81395,577.81395
11,0.043651,252,0,0,2.75,2.75,0.01076592,0.01076592,0.043651,0.043651,577.876157,577.876157,577.876157,577.876157
12,0.047619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.047619,0.047619,577.938371,577.938371,577.938371,577.938371
13,0.051587,252,0,0,2.75,2.75,0.01076592,0.01076592,0.051587,0.051587,578.000591,578.000591,578.000591,578.000591
14,0.055556,252,0,0,2.75,2.75,0.01076592,0.01076592,0.055556,0.055556,578.062818,578.062818,578.062818,578.062818
15,0.059524,252,0,0,2.75,2.75,0.01076592,0.01076592,0.059524,0.059524,578.125052,578.125052,578.125052,578.125052
16,0.063492,252,0,0,2.75,2.75,0.01076592,0.01076592,0.063492,0.063492,578.187293,578.187293,578.187293,578.187293
17,0.06746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.06746,0.06746,578.24954,578.24954,578.24954,578.24954
18,0.071429,252,0,0,2.75,2.75,0.01076592,0.01076592,0.071429,0.071429,578.311794,578.311794,578.311794,578.311794
19,0.075397,252,0,0,2.75,2.75,0.01076592,0.01076592,0.075397,0.075397,578.374054,578.374054,578.374054,578.374054
20,0.079365,252,0,0,2.75,2.75,0.01076592,0.01076592,0.079365,0.079365,578.436322,578.436322,578.436322,578.436322
21,0.083333,252,0,0,2.75,2.75,0.01076592,0.01076592,0.083333,0.083333,578.498596,578.498596,578.498596,578.498596
22,0.087302,252,0,0,2.75,2.75,0.01076592,0.01076592,0.087302,0.087302,578.560876,578.560876,578.560876,578.560876
23,0.09127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.09127,0.09127,578.623164,578.623164,578.623164,578.623164
24,0.095238,252,0,0,2.75,2.75,0.01076592,0.01076592,0.095238,0.095238,578.685458,578.685458,578.685458,578.685458
25,0.099206,252,0,0,2.75,2.75,0.01076592,0.01076592,0.099206,0.099206,578.747759,578.747759,578.747759,578.747759
26,0.103175,252,0,0,2.75,2.75,0.01076592,0.01076592,0.103175,0.103175,578.810066,578.810066,578.810066,578.810066
27,0.107143,252,0,0,2.75,2.75,0.01076592,0.01076592,0.107143,0.107143,578.872381,578.872381,578.872381,578.872381
28,0.111111,252,0,0,2.75,2.75,0.01076592,0.01076592,0.111111,0.111111,578.934702,578.934702,578.934702,578.934702
29,0.115079,252,0,0,2.75,2.75,0.01076592,0.01076592,0.115079,0.115079,578.997029,578.997029,578.997029,578.997029
30,0.119048,252,0,0,2.75,2.75,0.01076592,0.01076592,0.119048,0.119048,579.059364,579.059364,579.059364,579.059364
31,0.123016,252,0,0,2.75,2.75,0.01076592,0.01076592,0.123016,0.123016,579.121705,579.121705,579.121705,579.121705
32,0.126984,252,0,0,2.75,2.75,0.01076592,0.01076592,0.126984,0.126984,579.184053,579.184053,579.184053,579.184053
33,0.130952,252,0,0,2.75,2.75,0.01076592,0.01076592,0.130952,0.130952,579.246407,579.246407,579.246407,579.246407
34,0.134921,252,0,0,2.75,2.75,0.01076592,0.01076592,0.134921,0.134921,579.308768,579.308768,579.308768,579.308768
35,0.138889,252,0,0,2.75,2.75,0.01076592,0.01076592,0.138889,0.138889,579.371136,579.371136,579.371136,579.371136
36,0.142857,252,0,0,2.75,2.75,0.01076592,0.01076592,0.142857,0.142857,579.433511,579.433511,579.433511,579.433511
37,0.146825,252,0,0,2.75,2.75,0.01076592,0.01076592,0.146825,0.146825,579.495892,579.495892,579.495892,579.495892
38,0.150794,252,0,0,2.75,2.75,0.01076592,0.01076592,0.150794,0.150794,579.55828,579.55828,579.55828,579.55828
39,0.154762,252,0,0,2.75,2.75,0.01076592,0.01076592,0.154762,0.154762,579.620675,579.620675,579.620675,579.620675
40,0.15873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.15873,0.15873,579.683077,579.683077,579.683077,579.683077
41,0.162698,252,0,0,2.75,2.75,0.01076592,0.01076592,0.162698,0.162698,579.745485,579.745485,579.745485,579.745485
42,0.166667,252,0,0,2.75,2.75,0.01076592,0.01076592,0.166667,0.166667,579.8079,579.8079,579.8079,579.8079
43,0.170635,252,0,0,2.75,2.75,0.01076592,0.01076592,0.170635,0.170635,579.870322,579.870322,579.870322,579.870322
44,0.174603,252,0,0,2.75,2.75,0.01076592,0.01076592,0.174603,0.174603,579.93275,579.93275,579.93275,579.93275
45,0.178571,252,0,0,2.75,2.75,0.01076592,0.01076592,0.178571,0.178571,579.995185,579.995185,579.995185,579.995185
46,0.18254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.18254,0.18254,580.057627,580.057627,580.057627,580.057627
47,0.186508,252,0,0,2.75,2.75,0.01076592,0.01076592,0.186508,0.186508,580.120075,580.120075,580.120075,580.120075
48,0.190476,252,0,0,2.75,2.75,0.01076592,0.01076592,0.190476,0.190476,580.182531,580.182531,580.182531,580.182531
49,0.194444,252,0,0,2.75,2.75,0.01076592,0.01076592,0.194444,0.194444,580.244993,580.244993,580.244993,580.244993
50,0.198413,252,0,0,2.75,2.75,0.01076592,0.01076592,0.198413,0.198413,580.307461,580.307461,580.307461,580.307461
51,0.202381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.202381,0.202381,580.369937,580.369937,580.369937,580.369937
52,0.206349,252,0,0,2.75,2.75,0.01076592,0.01076592,0.206349,0.206349,580.432419,580.432419,580.432419,580.432419
53,0.210317,252,0,0,2.75,2.75,0.01076592,0.01076592,0.210317,0.210317,580.494908,580.494908,580.494908,580.494908
54,0.214286,252,0,0,2.75,2.75,0.01076592,0.01076592,0.214286,0.214286,580.557404,580.557404,580.557404,580.557404
55,0.218254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.218254,0.218254,580.619906,580.619906,580.619906,580.619906
56,0.222222,252,0,0,2.75,2.75,0.01076592,0.01076592,0.222222,0.222222,580.682415,580.682415,580.682415,580.682415
57,0.22619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.22619,0.22619,580.744931,580.744931,580.744931,580.744931
58,0.230159,252,0,0,2.75,2.75,0.01076592,0.01076592,0.230159,0.230159,580.807454,580.807454,580.807454,580.807454
59,0.234127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.234127,0.234127,580.869983,580.869983,580.869983,580.869983
60,0.238095,252,0,0,2.75,2.75,0.01076592,0.01076592,0.238095,0.238095,580.932519,580.932519,580.932519,580.932519
61,0.242063,252,0,0,2.75,2.75,0.01076592,0.01076592,0.242063,0.242063,580.995062,580.995062,580.995062,580.995062
62,0.246032,252,0,0,2.75,2.75,0.01076592,0.01076592,0.246032,0.246032,581.057611,581.057611,581.057611,581.057611
63,0.25,252,0,0,2.75,2.75,0.01076592,0.01076592,0.25,0.25,581.120167,581.120167,581.120167,581.120167
64,0.253968,252,0,0,2.75,2.75,0.01076592,0.01076592,0.253968,0.253968,581.18273,581.18273,581.18273,581.18273
65,0.257937,252,0,0,2.75,2.75,0.01076592,0.01076592,0.257937,0.257937,581.2453,581.2453,581.2453,581.2453
66,0.261905,252,0,0,2.75,2.75,0.01076592,0.01076592,0.261905,0.261905,581.307876,581.307876,581.307876,581.307876
